source,target,value
"China, Hong Kong SAR","China, mainland",4812623.0
"China, Macao SAR","China, mainland",1143.0
"China, Taiwan Province of","China, mainland",626529.0
"China, mainland",Afghanistan,20360.0
"China, mainland",Albania,6233.0
"China, mainland",Algeria,115431.0
"China, mainland",Angola,21904.0
"China, mainland",Antigua and Barbuda,38.0
"China, mainland",Argentina,41928.0
"China, mainland",Armenia,1596.0
"China, mainland",Aruba,93.0
"China, mainland",Australia,609463.0
"China, mainland",Austria,23076.0
"China, mainland",Azerbaijan,2731.0
"China, mainland",Bahamas,314.0
"China, mainland",Bahrain,30892.0
"China, mainland",Bangladesh,318666.0
"China, mainland",Barbados,720.0
"China, mainland",Belarus,7601.0
"China, mainland",Belgium,392106.0
"China, mainland",Belize,9302.0
"China, mainland",Benin,116658.0
"China, mainland",Bermuda,38.0
"China, mainland",Bhutan,409.0
"China, mainland",Bolivia (Plurinational State of),9772.0
"China, mainland",Bosnia and Herzegovina,541.0
"China, mainland",Botswana,49.0
"China, mainland",Brazil,490990.0
"China, mainland",British Virgin Islands,14.0
"China, mainland",Brunei Darussalam,11289.0
"China, mainland",Bulgaria,22485.0
"China, mainland",Burkina Faso,5267.0
"China, mainland",Burundi,5144.0
"China, mainland",Cabo Verde,2031.0
"China, mainland",Cambodia,37766.0
"China, mainland",Cameroon,22225.0
"China, mainland",Canada,566907.0
"China, mainland",Central African Republic,204.0
"China, mainland",Chad,4326.0
"China, mainland",Chile,124069.0
"China, mainland","China, Hong Kong SAR",7245673.0
"China, mainland","China, Macao SAR",322973.0
"China, mainland","China, Taiwan Province of",654660.0
"China, mainland",Colombia,91856.0
"China, mainland",Comoros,832.0
"China, mainland",Congo,6541.0
"China, mainland",Costa Rica,38039.0
"China, mainland",Croatia,14863.0
"China, mainland",Cuba,43223.0
"China, mainland",Cyprus,4349.0
"China, mainland",Czechia,45922.0
"China, mainland",Côte d'Ivoire,55774.0
"China, mainland",Democratic People's Republic of Korea,281516.0
"China, mainland",Democratic Republic of the Congo,26593.0
"China, mainland",Denmark,96280.0
"China, mainland",Djibouti,6975.0
"China, mainland",Dominica,194.0
