,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
22,2010,3,European Union,21293.223719999998,23124.56633,28264.096019999997,24771.261730000002,25738.82342,27709.511710000002,28484.63932,27552.76853,26630.29151,28697.708239999996,28213.3538,28783.578230000003,319263.8226,18550.49763,17851.65269,20956.32417,18949.878419999997,19431.3163,20334.69312,18784.60928,19356.401719999998,20308.37294,21831.25831,20992.74469,22243.21085,239590.9601
23,2011,3,European Union,26134.266209999998,26833.46624,33504.66057,31133.71634,31677.03632,32344.575439999997,30174.778980000003,31371.74745,29528.500369999998,31528.33476,31746.124460000003,32498.019669999998,368475.2268,20219.04852,19907.08112,24397.77886,23438.87283,22711.90571,22728.58109,21405.3853,22364.923759999998,23189.53153,23339.16536,22004.81868,22748.19114,268455.2839
24,2012,3,European Union,29590.710839999996,28530.45493,34908.25958,31281.32701,33450.04812,31537.373219999998,33251.766039999995,32885.455630000004,29381.06715,32394.724189999997,33592.592580000004,30403.86914,381207.6484,21097.67942,22541.62172,25201.188319999997,22343.817590000002,22852.57905,23213.6717,20606.2631,21479.72901,21338.93749,21682.11148,21380.08641,21621.95559,265359.6409
25,2013,3,European Union,28883.824569999997,28819.24644,32843.91206,33572.53678,33314.38699,29912.509169999998,0.0,0.0,0.0,0.0,0.0,0.0,187346.41600000003,20237.64866,20061.32661,22949.50258,21143.90657,22492.83453,22822.1771,0.0,0.0,0.0,0.0,0.0,0.0,129707.3961
32,2007,4,"World, Seasonally Adjusted",156000.0,155097.0,161806.0,159655.0,161050.0,163137.0,163679.0,163444.0,164883.0,166868.0,171602.0,169741.0,1956962.0,90847.0,88931.0,92877.0,92573.0,94330.0,95344.0,95773.0,97552.0,98065.0,99509.0,100798.0,101598.0,1148197.0
33,2008,4,"World, Seasonally Adjusted",175412.0,179496.0,175126.0,182776.0,183767.0,186963.0,194334.0,186261.0,175833.0,174067.0,150372.0,139234.0,2103641.0,104441.0,107512.0,105976.0,110383.0,110828.0,115784.0,118309.0,116219.0,107172.0,105006.0,97819.0,87992.0,1287441.0
34,2009,4,"World, Seasonally Adjusted",129116.0,121807.0,121885.0,120572.0,118736.0,122156.0,129912.0,128770.0,136267.0,139309.0,143475.0,147620.0,1559625.0,82415.0,84903.0,83500.0,81088.0,83369.0,85737.0,87833.0,87767.0,91673.0,94829.0,94635.0,98293.0,1056042.0
35,2010,4,"World, Seasonally Adjusted",146808.0,150520.0,153982.0,153706.0,158128.0,162202.0,159664.0,164528.0,163835.0,165302.0,164893.0,170290.0,1913858.0,98302.0,99555.0,103530.0,102397.0,105517.0,104494.0,107246.0,107428.0,107734.0,112730.0,113521.0,116039.0,1278493.0
36,2011,4,"World, Seasonally Adjusted",178767.0,175072.0,180429.0,180291.0,185088.0,185367.0,185746.0,185388.0,186107.0,187174.0,187146.0,191480.0,2208055.0,117495.0,115824.0,122445.0,124039.0,123525.0,119905.0,125090.0,125359.0,127022.0,127442.0,125592.0,126551.0,1480289.0
37,2012,4,"World, Seasonally Adjusted",191923.0,187070.0,194962.0,191675.0,191298.0,188572.0,187512.0,186807.0,189359.0,186067.0,192364.0,187711.0,2275320.0,125954.0,126936.0,130625.0,128762.0,129097.0,130218.0,128839.0,127107.0,131415.0,126704.0,128530.0,131522.0,1545709.0
