,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
790,2011,3510,Brazil,2206.19446,1983.5855010000002,2055.0687629999998,2494.9571969999997,2909.480069,2819.764857,2921.522336,2348.824211,2892.0299449999998,2583.511106,3094.982155,3427.055536,31736.97614,3224.869866,2866.00313,3606.1219960000003,3436.3619200000003,3618.796835,3539.8591,3713.581317,3966.625547,4069.642068,3931.008753,3578.146067,3387.3941520000003,42938.41075
791,2012,3510,Brazil,3003.429129,2634.949007,3303.348151,2908.301012,2483.872222,2908.394541,2659.7666510000004,3059.688453,2395.76321,2299.831513,2301.822671,2163.860435,32123.027000000002,3052.723222,3149.830713,3971.4840950000003,3640.687867,3478.366744,3590.173086,3473.112321,3957.8840659999996,3922.043596,4143.322054,3836.769634,3589.573713,43805.971110000006
792,2013,3510,Brazil,2156.339523,1914.3715969999998,2008.1448850000002,2176.606223,2571.421706,2282.312877,0.0,0.0,0.0,0.0,0.0,0.0,13109.19681,3062.016718,3579.562189,3716.161358,3364.512434,3423.1527170000004,3854.8191909999996,0.0,0.0,0.0,0.0,0.0,0.0,21000.22461
799,2007,3530,Paraguay,5.089539,4.150347,2.810172,4.066552,4.489192,3.9512300000000002,4.435012,8.894032000000001,7.758953,10.096537,6.666646000000001,5.560874,67.969086,73.481851,68.410054,104.76754,84.841605,104.09716999999999,105.718317,108.727296,119.627665,118.209705,125.059184,121.552123,102.23950699999999,1236.732017
800,2008,3530,Paraguay,5.95236,5.5307010000000005,3.853331,3.86533,4.891047,4.558825,3.753601,6.437717,10.125841000000001,12.160472,9.900138,7.374599000000001,78.40396199999999,117.349557,114.617328,129.29663100000002,133.232935,163.893153,160.804811,171.635393,165.56569299999998,148.5812,109.82401999999999,117.526812,77.608998,1609.936531
801,2009,3530,Paraguay,4.269984,3.8107879999999996,4.445506,3.7981540000000003,3.6152349999999998,2.42492,3.06684,3.799674,7.565894,9.111349,6.208715,4.288387999999999,56.405446999999995,83.597664,80.516977,103.410451,100.37612,89.988036,114.54926699999999,114.849775,124.25532700000001,117.15499299999999,151.684438,135.099266,139.550942,1355.0332560000002
802,2010,3530,Paraguay,4.7115160000000005,2.634496,3.19675,2.521623,2.734856,4.187,4.154597,4.252280000000001,9.694175999999999,8.067484,8.230186999999999,7.753814,62.13877900000001,153.133753,110.26394499999999,141.484081,139.219951,178.791861,132.41236999999998,149.73762,153.604828,164.646348,170.71815700000002,155.07111,160.969882,1810.0539059999999
803,2011,3530,Paraguay,5.220458,4.73995,5.437782,5.4746760000000005,3.399224,4.301092,3.784705,14.238964000000001,11.396316,20.298597,16.273656,15.391998000000001,109.95741799999999,166.839956,163.287467,160.321609,171.851187,150.17466000000002,165.03458999999998,210.673823,177.15731599999998,162.237268,141.072302,152.97460800000002,153.684443,1975.309229
804,2012,3530,Paraguay,10.742334,6.3492809999999995,8.732536,10.61872,11.211409,10.495737,11.430274,20.085946,23.490722,24.621807999999998,32.547591,26.605299,196.931657,132.04503,138.49312700000002,175.70800400000002,153.71002099999998,149.330173,138.42411299999998,133.871749,128.898643,156.713448,124.783597,156.846825,153.831551,1742.6562809999998
805,2013,3530,Paraguay,21.310554999999997,19.362333,21.138338,8.554206,10.360205,40.60924,0.0,0.0,0.0,0.0,0.0,0.0,121.334877,172.612602,142.835926,197.992227,148.786379,130.431722,151.356154,0.0,0.0,0.0,0.0,0.0,0.0,944.01501
812,2007,3550,Uruguay,50.098087,49.751559,43.241733,41.715247,47.467290999999996,40.434595,58.840146999999995,42.163545,33.532631,34.972481,21.278000000000002,28.426852,491.92216799999994,36.911662,38.766746999999995,40.237164,65.840747,43.550363,54.479502000000004,46.496082,58.714298,53.75001700000001,57.623493999999994,72.50500500000001,71.897508,640.7725889999999
813,2008,3550,Uruguay,19.457171,17.586705,17.296654,16.000551,17.622637,16.847319,15.919472,16.580681,21.866164,24.652819,27.703792,32.776624,244.31058900000002,56.928963,58.24221,71.593057,94.305086,93.218232,104.375649,68.280999,77.076817,70.111953,75.481521,64.07094000000001,59.370826,893.056253
814,2009,3550,Uruguay,23.621845999999998,19.242132,23.971660999999997,17.159426,16.091409,19.307022,18.225210999999998,19.569021,23.652227,20.378421,20.792566,17.214648,239.22558999999998,58.853106999999994,51.569688,45.716884,49.693355,50.792826,76.911614,57.797458,74.502882,61.041568000000005,86.019856,66.404239,65.783966,745.087443
815,2010,3550,Uruguay,14.057520000000002,12.657921,17.916364,21.593438,20.525916,27.049015,20.336214000000002,19.131495,17.556148999999998,23.145469,23.115183,18.295012,235.379696,68.68119200000001,62.655708999999995,87.550898,68.583297,70.246415,92.360609,81.318282,93.666072,75.407146,99.01703499999999,92.963024,82.827768,975.277447
816,2011,3550,Uruguay,17.614333,19.198672,30.909921999999998,25.432767000000002,25.206348000000002,24.659063,23.195256,19.16554,23.095322,26.570315,27.60933,28.797715999999998,291.454584,77.347539,81.056939,106.334544,83.038684,94.661215,93.16031600000001,111.477607,113.977901,138.225663,139.368807,108.329383,109.27456699999999,1256.253165
817,2012,3550,Uruguay,28.948033000000002,19.640629,26.952058,29.874634000000004,38.93996,32.84287,30.67118,25.857336,33.259519,30.136743,28.795724,31.394201000000002,357.312887,89.571639,95.642558,120.25840600000001,123.54141499999999,99.727563,151.947787,112.119527,113.833104,123.67745500000001,96.437963,105.592467,126.572115,1358.921999
818,2013,3550,Uruguay,35.801176,26.042710999999997,30.525296,39.044371000000005,46.743759000000004,44.708634,0.0,0.0,0.0,0.0,0.0,0.0,222.86594700000003,252.472892,131.387588,126.835333,104.280851,118.15728500000002,137.55871399999998,0.0,0.0,0.0,0.0,0.0,0.0,870.692663
825,2007,3570,Argentina,336.307554,332.952348,395.145453,348.96751,376.47189199999997,273.489719,387.61972099999997,355.13521299999996,311.35495299999997,301.133313,556.786253,511.58355300000005,4486.947482,399.190508,355.072417,480.451409,433.210104,482.717492,452.259058,529.591298,500.71609800000004,578.6417389999999,556.1690150000001,514.343473,573.490463,5855.853074000001
826,2008,3570,Argentina,496.994591,397.806591,451.007067,553.9357110000001,410.34575099999995,526.1553269999999,383.258534,531.9439110000001,556.557697,589.425558,424.609712,500.02373,5822.064179999999,533.459799,542.308715,575.801238,575.840924,724.8474809999999,949.605815,638.350818,719.5754860000001,678.1099839999999,603.028551,519.357699,476.02891500000004,7536.315425
827,2009,3570,Argentina,393.049344,233.63533900000002,378.027069,337.473621,358.130416,364.656272,292.338564,303.38461,266.21144,282.353202,354.877989,325.974081,3890.111947,437.398663,368.801636,400.724651,369.419631,477.628422,587.780576,485.046013,546.502514,445.990576,520.4127980000001,499.41877,429.761375,5568.885625
828,2010,3570,Argentina,252.73310299999997,246.07678399999998,329.03713799999997,262.22409700000003,218.09962000000002,278.756633,289.506871,323.320802,353.265676,428.022929,359.53389500000003,462.176624,3802.754172,462.32504900000004,493.923101,518.2269269999999,561.851546,613.529242,649.008171,628.596991,667.0717530000001,605.7726269999999,735.807996,738.880046,717.142641,7392.136090000001
829,2011,3570,Argentina,452.64913499999994,265.356245,392.33319,294.439093,391.729578,364.003594,252.29691,508.18328499999996,376.944606,394.814179,464.715499,345.42380499999996,4502.8891189999995,652.672226,638.2291389999999,721.62978,768.198616,876.967349,838.738776,940.294136,933.938765,880.8953710000001,868.116992,837.085283,924.3433660000001,9881.109799
830,2012,3570,Argentina,441.211873,262.540259,387.926288,282.712651,406.008711,342.992235,331.740146,416.03001,433.69262599999996,343.432814,428.476307,272.856845,4349.620765,967.2200300000001,386.66628199999997,712.887562,978.074241,1141.273347,874.787567,844.2449720000001,926.9776949999999,1037.0697300000002,720.246496,829.217084,849.283335,10267.94834
831,2013,3570,Argentina,316.618056,358.81651800000003,398.293987,351.110394,392.69919,439.89852300000007,0.0,0.0,0.0,0.0,0.0,0.0,2257.436668,786.9272480000001,694.375048,676.521092,946.0572400000001,854.6357859999999,919.1354779999999,0.0,0.0,0.0,0.0,0.0,0.0,4877.651892
838,2007,3720,Falkland Islands(Islas Malvin,0.0,0.033,0.962225,0.003098,0.0,0.49223999999999996,0.001585,2.309596,0.12923800000000002,0.009032,0.206139,0.70712,4.853273000000001,0.025406,0.015722,0.217388,0.027072000000000002,0.197534,0.07674500000000001,0.06789099999999999,0.0721,0.07040700000000001,0.128948,0.062297000000000005,0.011859,0.973369
839,2008,3720,Falkland Islands(Islas Malvin,0.002188,0.022236000000000002,0.0,3.299611,0.309021,0.817455,0.41701499999999997,0.003415,0.417156,1.504249,0.47296800000000006,0.001507,7.266821,0.06997,0.032235,0.019148,0.046775,0.02387,0.175174,0.111175,0.066218,0.070137,0.10388299999999999,0.060737,0.026180000000000002,0.805502
840,2009,3720,Falkland Islands(Islas Malvin,0.224467,0.000723,1.887825,0.009496,0.00367,2.468128,0.007947,1.323977,0.004264,1.288157,0.742326,0.344217,8.305197,0.026061,0.002219,0.12496600000000001,0.015515000000000001,0.049163,0.058337,0.092627,0.065466,0.179161,0.15316300000000002,0.009231,1.580396,2.356305
841,2010,3720,Falkland Islands(Islas Malvin,0.121057,0.000304,0.000417,1.527224,0.0,0.000762,0.8994549999999999,0.00013700000000000002,0.0,1.9634,0.9184690000000001,0.000466,5.431691000000001,0.06843400000000001,0.520644,0.320392,0.164943,0.503537,0.159472,0.179756,0.15238,0.082501,0.122439,0.204796,0.23884,2.718134
842,2011,3720,Falkland Islands(Islas Malvin,0.000837,0.005643,0.001777,0.6718,1.993157,7.000000000000001e-06,1.679902,0.00020800000000000001,0.0,0.263346,1.869907,0.408901,6.895485000000001,0.245757,0.102253,1.818827,0.094399,0.15192,0.067396,0.21309,0.034473000000000004,0.518941,0.038801,0.430011,0.24163,3.957498
843,2012,3720,Falkland Islands(Islas Malvin,0.0,3.896735,0.6045149999999999,1.132654,1.680074,0.0,8e-06,1.6657400000000002,0.0036439999999999997,0.6100220000000001,1.616895,0.0006799999999999999,11.210967,2.5676799999999997,0.013512,0.089278,0.029559,0.129171,0.135919,0.030206,0.068191,0.468958,0.016518,0.096466,0.701615,4.347073
844,2013,3720,Falkland Islands(Islas Malvin,0.0008089999999999999,0.0009029999999999999,0.005957,0.532995,0.000337,9.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.541095,0.153245,0.2253,0.127737,0.057638,0.00023199999999999997,0.196116,0.0,0.0,0.0,0.0,0.0,0.0,0.760268
851,2007,4000,Iceland,18.562368,18.066437,23.472464000000002,16.164710999999997,18.608512,16.841029000000002,14.157293,13.446160999999998,15.63042,17.44967,16.54281,16.793131,205.735006,27.357221999999997,29.208869,38.296753,40.261996,141.94818,47.239123,56.408947999999995,51.408201,56.247758999999995,49.404051,47.888216,43.963390000000004,629.632708
852,2008,4000,Iceland,20.491211,12.629674000000001,19.406585,14.918869,17.953475,29.455639,17.051364000000003,11.754826,46.201149,18.391402,14.756842,17.686695,240.697731,55.80794399999999,49.109652000000004,48.437553,38.350812,41.832452,36.966221999999995,41.253139000000004,43.111276000000004,26.680869,29.722032000000002,24.567453,33.660818,469.50022199999995
853,2009,4000,Iceland,11.785695,12.440567999999999,21.93551,13.725932,25.444529,14.565226999999998,11.851709,10.354082,15.752557999999999,14.04319,12.064075,15.183373999999999,179.146449,27.389077,50.458584,45.510290000000005,33.834334999999996,19.969739999999998,25.425481,29.534592,27.525171999999998,17.805575,19.468889,25.241035,27.339259000000002,349.502029
854,2010,4000,Iceland,13.604397,15.626323000000001,20.85246,13.330704999999998,16.294673,17.782481,13.853561,17.003501,20.007334,16.939988,17.920870999999998,18.033539,201.249833,30.683962,25.043847,17.937646,42.229524,15.459216,27.785740000000004,26.482336,22.718569,26.712273,33.939629,24.952851000000003,30.937396000000003,324.882989
855,2011,4000,Iceland,15.580603,16.649509,19.438341,15.793382999999999,17.105556,15.48717,18.74016,13.772944,13.847071,20.077831,24.642513,24.609399,215.74447999999998,48.676233,14.628951999999998,57.748539,73.928525,51.063204,53.20306,76.613452,33.981173,79.347494,42.107475,31.618658,64.70225699999999,627.619022
856,2012,4000,Iceland,15.625468,23.99781,24.471622,25.300584,23.190938,27.070144,19.160242,17.628963,20.449119,23.542957,36.701741999999996,26.595709000000003,283.735298,27.180685999999998,28.140672,16.951192000000002,22.27798,30.795370000000002,50.298364,44.531057000000004,21.491405,57.025675,25.998987,14.123712,31.993696000000003,370.808796
857,2013,4000,Iceland,40.006825,23.325167999999998,25.542964,28.285414000000003,21.381613,22.188792000000003,0.0,0.0,0.0,0.0,0.0,0.0,160.730776,24.388776999999997,31.486562,14.623753,29.640012,12.088500999999999,26.822972999999998,0.0,0.0,0.0,0.0,0.0,0.0,139.050578
864,2007,4010,Sweden,1070.226689,1054.129711,1276.761357,1193.60383,1117.28519,1228.344182,1018.223546,839.660522,956.379134,1116.6648189999999,1106.304914,1046.320363,13023.90426,341.846604,332.441029,418.685497,398.610128,374.253365,422.316483,314.00659,330.087059,392.90519,437.15861500000005,352.401454,358.01400099999995,4472.726015
865,2008,4010,Sweden,968.104117,1086.1556150000001,1166.09035,1149.7220320000001,1172.7813039999999,1124.868022,1001.9560210000001,871.4234970000001,1113.097485,1061.598238,876.457227,906.0687859999999,12498.32269,347.613102,389.084134,420.55606900000004,462.246013,438.797458,452.17519500000003,402.69304700000004,489.746917,426.401305,444.23391200000003,401.260393,343.451189,5018.258734
866,2009,4010,Sweden,644.8549780000001,673.668467,764.805992,723.246124,593.164744,647.7526019999999,664.864046,459.56235300000003,723.623877,697.03972,791.2289139999999,801.6957259999999,8185.507543000001,346.874763,321.675489,452.065429,371.09411600000004,360.332038,379.976529,346.835111,452.28713200000004,358.33005,412.841995,371.334519,387.138041,4560.785212
867,2010,4010,Sweden,646.462919,639.158517,739.604084,844.663718,931.8205220000001,1027.558687,1075.971246,744.334618,817.659573,966.889867,1040.7683220000001,1022.495274,10497.38735,319.374908,331.071833,490.69876600000003,388.426324,429.30252,372.322923,319.426426,406.416748,407.497964,437.58739,428.138412,409.623904,4739.888118
868,2011,4010,Sweden,997.555262,787.290876,1130.094445,1032.986734,1077.897566,1113.319386,1047.497244,811.322418,733.067234,908.57798,959.80886,890.766068,11490.184070000001,366.92287400000004,427.020859,481.535816,479.859901,505.768841,492.108338,359.221106,382.169273,434.789032,490.71606799999995,400.06755699999997,460.6607,5280.840365
869,2012,4010,Sweden,846.505799,849.9999109999999,1007.5812109999999,885.233831,982.6457029999999,914.075026,845.176734,687.8436429999999,752.294347,803.2251219999999,879.405984,762.803443,10216.79075,420.53253600000005,394.97808599999996,534.52678,461.60064800000004,439.031378,405.739782,372.925096,448.386832,471.989891,445.978654,434.522633,417.750039,5247.962355
870,2013,4010,Sweden,637.286596,767.341748,777.805155,753.068833,907.438574,823.493297,0.0,0.0,0.0,0.0,0.0,0.0,4666.434203,434.95899699999995,334.245565,446.09583399999997,338.79835499999996,419.983725,343.57817400000005,0.0,0.0,0.0,0.0,0.0,0.0,2317.66065
877,2007,4031,"Svalbard, _1 _5en Island",0.0,0.228752,0.000469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229221,0.084847,0.015897,0.056603,0.068337,0.031043,0.0623,0.215586,0.058587,0.037286,0.076512,0.12146199999999999,0.097652,0.926112
878,2008,4031,"Svalbard, _1 _5en Island",0.0,0.0,0.0,0.0037630000000000003,0.0095,0.0,0.0,0.013675999999999999,0.0,0.0,0.0,0.0,0.026938999999999998,0.053315999999999995,0.138051,0.056999,0.212248,0.179143,0.030989999999999997,0.080242,0.20289100000000002,1.029268,0.124356,0.032264999999999995,0.065001,2.20477
879,2009,4031,"Svalbard, _1 _5en Island",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11731099999999998,0.283513,0.048145,0.07270599999999999,0.106373,0.056691,0.014639,0.00035099999999999997,0.0,0.0,0.122055,0.04682,0.868604
880,2010,4031,"Svalbard, _1 _5en Island",0.0,0.0,0.02424,0.0,0.0,0.0,0.0004,0.00039,0.0,0.0,0.0,1.4000000000000001e-05,0.025044,0.20881,0.041063999999999996,0.063679,0.021025,0.959385,0.020531999999999998,0.092137,0.007244,6.24244,0.005894,0.0,0.012418,7.674628
881,2011,4031,"Svalbard, _1 _5en Island",0.0,0.002462,0.0,0.0,0.0,0.0,0.0,0.001019,0.0,0.0,3e-06,0.0,0.0034840000000000006,0.11003099999999999,0.125302,0.262378,0.0,0.038188,0.14190999999999998,1.253384,0.037735000000000005,0.0,0.0,0.023136,0.060389,2.052453
882,2012,4031,"Svalbard, _1 _5en Island",0.0,0.000147,0.0,1.8e-05,0.0,0.008095,0.0,0.0,0.0,0.000157,0.0,0.0,0.008417000000000001,0.0,0.0,0.0,0.0,0.03335,0.0,0.0,0.001066,0.0,0.044732,0.034765,0.011545,0.125458
883,2013,4031,"Svalbard, _1 _5en Island",0.0,0.000678,0.0,0.000264,0.0,0.006195,0.0,0.0,0.0,0.0,0.0,0.0,0.007137,0.002206,0.0,0.297597,0.002809,0.8889819999999999,0.14410499999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.335699
890,2007,4039,Norway,546.052556,524.543754,608.776175,627.689726,756.001184,653.3439599999999,782.961398,544.98999,458.245063,576.435383,556.432357,682.2586269999999,7317.730173000001,214.706848,203.31011999999998,271.54861600000004,242.01202200000003,279.979248,297.499211,247.79345299999997,222.19126699999998,235.065215,266.09821800000003,299.239015,260.844296,3040.2875289999997
891,2008,4039,Norway,579.754037,465.63112300000006,640.12612,651.52648,952.348167,868.5484240000001,592.351455,716.510044,525.0382549999999,475.12518700000004,454.69896100000005,393.48105699999996,7315.13931,329.673032,235.60474900000003,270.317315,281.74438599999996,300.332535,325.628381,248.028681,272.822861,256.982421,259.498437,227.271202,284.29421,3292.19821
892,2009,4039,Norway,365.160869,299.951842,496.87210899999997,523.877931,480.92827800000003,631.901352,453.102534,308.095617,468.276174,548.789403,586.75675,524.451679,5688.164538,187.033828,218.50304,232.135489,273.259935,262.057298,232.40832799999998,188.063673,226.090025,254.719018,293.862017,194.925025,226.73104500000002,2789.788721
893,2010,4039,Norway,774.089753,530.489872,568.4846299999999,811.596573,671.444804,439.58672199999995,659.435229,454.49834000000004,422.098741,624.598555,534.563066,459.37937,6950.265655,192.579897,229.847727,367.325881,264.10996800000004,201.755588,247.657533,203.804296,249.519682,340.876438,242.797273,227.6132,332.09696099999996,3099.984444
894,2011,4039,Norway,580.936895,415.669733,859.2673359999999,794.884192,856.995599,645.8670179999999,561.488435,565.37027,684.010215,926.507906,777.591476,636.302553,8304.891628,247.107742,299.686984,490.00334100000003,277.142292,318.079593,350.754537,237.755435,298.62811899999997,264.418278,326.515965,221.71770899999999,291.37775899999997,3623.187754
895,2012,4039,Norway,460.780478,719.366485,754.002421,453.82613899999996,741.433827,530.733793,438.14794400000005,545.890745,509.02419699999996,452.08973899999995,598.549406,361.91627900000003,6565.761453,344.147841,202.514454,397.66685,213.96476,273.937127,316.241986,278.792282,287.837038,333.145748,332.698129,225.84953199999998,294.22336,3501.019107
896,2013,4039,Norway,434.73720099999997,361.385511,518.6992849999999,436.96241299999997,329.150145,558.4743,0.0,0.0,0.0,0.0,0.0,0.0,2639.408855,283.203596,382.140529,351.181,334.98916299999996,378.624787,427.835145,0.0,0.0,0.0,0.0,0.0,0.0,2157.97422
903,2007,4050,Finland,396.992006,386.99699300000003,408.513998,546.755489,557.5006,476.21871600000003,390.179524,393.58940099999995,412.66990899999996,475.851566,489.98323700000003,330.910357,5266.161796,217.893291,212.33627,301.06746499999997,242.77452000000002,256.12296200000003,302.996368,247.260783,306.669851,237.237533,258.27512,281.976182,268.81197099999997,3133.422316
904,2008,4050,Finland,372.13869900000003,383.244485,437.71849199999997,556.431791,734.4642349999999,638.019617,548.162407,427.370843,655.613514,459.593829,372.11900499999996,318.410988,5903.287905,217.680304,260.712618,318.23490899999996,362.217246,338.405481,423.11842699999994,353.907089,351.376177,371.767951,326.312682,241.59309700000003,195.521452,3760.847433
905,2009,4050,Finland,373.069797,306.503129,406.929686,412.723386,357.160515,385.179642,324.507676,277.172284,270.892648,283.963908,279.938866,307.247101,3985.2886380000004,112.48962399999999,129.018617,144.265682,143.236977,121.04977,135.695394,128.307249,163.779244,136.372053,143.635293,163.99165,140.140153,1661.981706
906,2010,4050,Finland,220.76881200000003,255.59519900000004,348.7055,274.064042,344.67533199999997,370.01324900000003,428.005885,296.453512,334.81574700000004,374.454051,343.06825200000003,293.047471,3883.6670520000002,119.41903,132.867267,170.464124,131.774052,172.88253500000002,167.689404,190.801966,232.51151099999998,238.157216,236.50504700000002,194.469269,191.990621,2179.5320420000003
907,2011,4050,Finland,348.62294199999997,340.400147,420.360664,394.817056,446.34586399999995,362.081613,328.358624,340.85076499999997,439.678201,331.219856,296.27169399999997,386.628084,4435.63551,195.464333,157.262725,272.73851099999996,249.23866,331.61528500000003,244.156043,326.359833,257.635851,314.959768,295.600843,274.325265,237.015443,3156.3725600000002
908,2012,4050,Finland,535.121558,554.37302,415.551706,382.44715299999996,456.743026,327.265356,415.03447400000005,439.56630199999995,372.302974,384.266176,443.42540499999996,383.24314100000004,5109.3402909999995,186.059263,231.522865,266.24540299999995,239.265689,228.0763,215.0747,161.777146,249.523133,197.96698600000002,182.514355,215.93576299999998,192.25772,2566.2193230000003
909,2013,4050,Finland,319.123044,423.244653,466.05839100000003,386.059985,369.09576400000003,342.37361200000004,0.0,0.0,0.0,0.0,0.0,0.0,2305.955449,205.548441,154.34325900000002,200.223892,213.731244,194.163486,253.605446,0.0,0.0,0.0,0.0,0.0,0.0,1221.615768
916,2007,4091,Faroe Islands,0.580236,0.44144399999999995,0.982299,0.8341799999999999,0.826248,0.5487920000000001,0.018778,0.023025999999999998,1.254406,1.049194,0.30819,0.20597,7.072763,0.119425,0.214971,0.23159899999999997,0.100266,0.500677,0.129156,0.17491900000000002,0.442601,0.174792,0.37938099999999997,0.278924,0.053488,2.800199
917,2008,4091,Faroe Islands,0.383333,0.153049,0.130583,0.195262,0.22091999999999998,2.186439,1.5834110000000001,0.750985,2.242536,2.705225,2.8363650000000002,2.6510700000000003,16.039178,0.88344,0.299373,1.158156,0.307221,2.9160310000000003,0.356916,0.504034,0.314602,0.349453,6.711258,0.28336,0.255954,14.339798000000002
918,2009,4091,Faroe Islands,2.098113,2.190671,4.576815,3.6032580000000003,3.91888,6.071306,4.496747,5.716579,8.141394,6.407799,7.3674479999999996,7.190792,61.779802000000004,0.282043,5.889683,1.356296,0.301404,0.23833800000000002,0.37884,0.201166,0.066129,0.567804,0.330652,0.112202,0.14544300000000002,9.87
919,2010,4091,Faroe Islands,5.038119,3.786426,4.885415,4.193944,5.810376,7.818594,4.70341,6.888899,6.731117,8.232880999999999,7.323258,6.897360000000001,72.309799,0.109992,0.11920399999999999,0.127903,0.095973,0.16913499999999998,0.21155700000000002,0.3275,0.144312,0.660351,0.034808,0.010905,0.11794,2.12958
920,2011,4091,Faroe Islands,8.430062,6.128286,13.691635999999999,8.892638999999999,13.329464000000002,10.793758,6.755597,5.950444,8.99728,9.214482,7.129882,6.638044,105.951574,0.23676,0.640558,0.143247,0.127521,0.320154,0.23548899999999998,0.306125,0.47867200000000004,0.032115,0.742134,0.060638,0.237215,3.560628
921,2012,4091,Faroe Islands,3.253888,4.848554,5.957479,7.139875,5.982369,4.311923999999999,5.064632,4.7903910000000005,8.450097999999999,7.277141,7.3270539999999995,8.223184,72.626589,0.030787000000000002,0.047552,0.078571,0.086717,0.047014999999999994,0.140308,0.087031,0.37455900000000003,0.535203,0.11969500000000001,0.037284,0.042561,1.627283
922,2013,4091,Faroe Islands,9.522836999999999,6.810933,9.93798,10.136532,10.090431,12.623871000000001,0.0,0.0,0.0,0.0,0.0,0.0,59.122583999999996,0.181908,0.0071400000000000005,0.05955800000000001,0.42138100000000006,0.325617,0.132601,0.0,0.0,0.0,0.0,0.0,0.0,1.128205
929,2007,4099,Den_3k,395.713557,447.54868899999997,578.193276,474.968171,468.99034400000005,421.405195,687.883157,589.972919,488.553986,626.596817,461.54852300000005,423.01063200000004,6064.385265999999,173.044035,171.247839,294.3737,244.690602,285.088795,205.95273600000002,309.456497,216.29914300000002,194.657576,253.06447599999998,274.242517,267.534943,2889.652859
930,2008,4099,Den_3k,362.119821,446.992312,459.60372699999994,397.816803,594.1774839999999,531.454856,784.787444,608.104056,709.4087910000001,629.224521,365.91043199999996,556.807584,6446.407831,218.41803199999998,247.58702000000002,248.1467,258.234651,225.94548500000002,238.94602200000003,206.697182,226.165825,212.23466800000003,229.11260099999998,214.87126099999998,184.690379,2711.049826
931,2009,4099,Den_3k,410.29949700000003,391.53715800000003,497.958386,513.716729,395.4489,502.87817699999994,577.271634,459.00686399999995,492.538858,430.99686299999996,430.502167,408.358475,5510.5137079999995,161.39246799999998,212.22945499999997,174.665523,159.974781,165.627616,172.49224099999998,155.740156,166.74878,164.604172,171.082507,153.160921,198.368583,2056.087203
932,2010,4099,Den_3k,306.76284300000003,369.251996,518.689557,521.148083,456.534096,527.591842,536.615816,591.842826,562.364957,487.490987,472.78956900000003,660.822489,6011.905061,172.363679,166.599849,194.461737,187.655078,168.948792,166.265649,168.75569,148.732353,221.73803199999998,206.909905,150.767998,179.248202,2132.446964
933,2011,4099,Den_3k,493.03155599999997,437.020703,679.282413,685.7300309999999,503.365588,615.038697,568.9105480000001,709.274918,525.068028,502.425894,601.72302,439.27132300000005,6760.1427189999995,193.647314,165.754519,231.19544,203.652414,182.393393,160.109936,170.909808,197.456434,192.107272,196.59741699999998,155.697646,193.69810900000002,2243.219702
934,2012,4099,Den_3k,502.01318,519.0639610000001,528.783533,555.63271,712.034085,674.214725,728.325603,574.6319679999999,538.674857,520.343057,513.200233,408.574198,6775.492109999999,183.906115,169.758277,213.48612400000002,171.86021599999998,239.06257200000002,186.233441,147.668605,169.564888,163.292958,183.334775,174.346699,218.835081,2221.349751
935,2013,4099,Den_3k,546.865088,439.22840599999995,498.43548300000003,695.0491559999999,527.5664780000001,481.074442,0.0,0.0,0.0,0.0,0.0,0.0,3188.2190530000003,254.512718,204.876578,182.135438,148.494278,169.46459199999998,175.59219099999999,0.0,0.0,0.0,0.0,0.0,0.0,1135.075795
942,2007,4120,United Kingdom,4063.1377079999997,3839.635271,4675.04036,4615.345324,5135.423402,4953.197936,5022.525715999999,4704.258402,4651.794632,5587.468134000001,5201.28945,4408.42609,56857.542429999994,3622.017089,4052.019807,5102.874764,4195.222485,4726.99734,4368.920129,3698.716789,3806.683193,4101.05988,4347.459212,4042.46911,3917.051499,49981.4913
943,2008,4120,United Kingdom,4581.412316,4838.377268,4663.9867619999995,5102.380036,5588.740415,5271.5144869999995,5650.131643,5016.706287,4696.798704,5154.612825,4104.952972,3917.7693159999994,58587.38303,4708.143862,4765.858767000001,4642.866683,4959.564044,4822.899885,5101.2753840000005,4803.262387,4447.461214,3887.445432,4330.750537,3546.1302049999995,3583.411311,53599.06971
944,2009,4120,United Kingdom,3077.434769,4008.9253840000006,3577.3555929999998,3847.565522,3458.549075,3752.58846,4198.8817070000005,4282.6681149999995,4251.874576,4676.119544,4372.783746,3975.144068,47479.89056,3681.4961799999996,3702.165865,4374.558595,3561.200391,3329.055215,4199.9935270000005,3829.4944979999996,3539.2595119999996,3748.6048990000004,4216.293415,3806.628963,3714.847194,45703.59825
